Year,Year_ending,Police_Region,Local_Government_Area,Incidents_Recorded,"Rate_per_1k_population"
2021,March,1 North West Metro, Melbourne,"25,957","15,281.4"
2021,March,1 North West Metro, Melton,"9,883","5,517.9"
2021,March,1 North West Metro, Moonee Valley,"6,108","4,721.0"
2021,March,1 North West Metro, Moreland,"10,148","5,494.1"
2021,March,1 North West Metro, Nillumbik,"1,522","2,353.9"
2021,March,1 North West Metro, Whittlesea,"11,453","4,813.6"
2021,March,1 North West Metro, Wyndham,"12,706","4,387.9"
2021,March,1 North West Metro, Yarra,"10,827","10,868.1"
2021,March,1 North West Metro,Total,"1,47,867","6,479.9"
2021,March,2 Eastern, Alpine,400,"3,060.7"
2021,March,2 Eastern, Bass Coast,"2,096","5,398.6"
2021,March,2 Eastern, Baw Baw,"3,585","6,335.8"
2021,March,2 Eastern, Benalla,995,"7,041.3"
2021,March,2 Eastern, Boroondara,"5,954","3,370.9"
2021,March,2 Eastern, East Gippsland,"3,629","7,501.7"
2021,March,2 Eastern, Greater Shepparton,"5,937","8,889.6"
2021,March,2 Eastern, Indigo,427,"2,514.9"
2021,March,2 Eastern, Knox,"8,283","5,088.8"
2021,March,2 Eastern, Latrobe,"9,087","11,932.1"
2021,March,2 Eastern, Manningham,"3,371","2,655.9"
2021,March,2 Eastern, Mansfield,388,"3,983.6"
2021,March,2 Eastern, Maroondah,"5,708","4,858.5"
2021,March,2 Eastern, Mitchell,"3,163","6,426.8"
2021,March,2 Eastern, Moira,"1,630","5,433.2"
2021,March,2 Eastern, Monash,"9,572","4,834.8"
2021,March,2 Eastern, Murrindindi,663,"4,453.6"
2021,March,2 Eastern, South Gippsland,"1,264","4,150.4"
2021,March,2 Eastern, Strathbogie,453,"4,056.6"
2021,March,2 Eastern, Towong,153,"2,519.3"
2021,March,2 Eastern, Wangaratta,"1,658","5,643.5"
2021,March,2 Eastern, Wellington,"3,218","7,136.5"
2021,March,2 Eastern, Whitehorse,"6,947","3,947.8"
2021,March,2 Eastern, Wodonga,"2,417","5,596.7"
2021,March,2 Eastern, Yarra Ranges,"6,111","3,847.5"
2021,March,2 Eastern,Total,"87,109","5,074.2"
2021,March,3 Southern Metro, Bayside,"3,827","3,624.7"
2021,March,3 Southern Metro, Cardinia,"5,563","4,687.6"
2021,March,3 Southern Metro, Casey,"16,137","4,374.8"
2021,March,3 Southern Metro, Frankston,"10,207","7,180.6"
2021,March,3 Southern Metro, Glen Eira,"6,020","3,880.8"
2021,March,3 Southern Metro, Greater Dandenong,"14,221","8,710.3"
2021,March,3 Southern Metro, Kingston,"8,041","4,882.8"
2021,March,3 Southern Metro, Mornington Peninsula,"7,617","4,510.7"
2021,March,3 Southern Metro, Port Phillip,"10,175","9,077.4"
2021,March,3 Southern Metro, Stonnington,"8,943","7,821.4"
2021,March,3 Southern Metro,Total,"90,751","5,624.0"
2021,March,4 Western, Ararat,"1,087","9,117.6"
2021,March,4 Western, Ballarat,"7,188","6,350.8"
2021,March,4 Western, Buloke,244,"4,019.1"
2021,March,4 Western, Campaspe,"2,456","6,503.9"
2021,March,4 Western, Central Goldfields,820,"6,233.8"
2021,March,4 Western, Colac-Otway,"1,226","5,693.9"
2021,March,4 Western, Corangamite,682,"4,312.9"
2021,March,4 Western, Gannawarra,639,"6,121.9"
2021,March,4 Western, Glenelg,"1,048","5,358.1"
2021,March,4 Western, Golden Plains,450,"1,817.1"
2021,March,4 Western, Greater Bendigo,"8,000","6,590.8"
2021,March,4 Western, Greater Geelong,"15,511","5,755.3"
2021,March,4 Western, Hepburn,507,"3,114.1"
2021,March,4 Western, Hindmarsh,287,"5,158.2"
2021,March,4 Western, Horsham,"1,472","7,374.4"
2021,March,4 Western, Loddon,412,"5,495.5"
2021,March,4 Western, Macedon Ranges,"1,853","3,581.2"
2021,March,4 Western, Mildura,"4,405","7,975.0"
2021,March,4 Western, Moorabool,"1,990","5,411.6"
2021,March,4 Western, Mount Alexander,728,"3,604.7"
2021,March,4 Western, Moyne,509,"2,955.7"
2021,March,4 Western, Northern Grampians,894,"7,855.2"
2021,March,4 Western, Pyrenees,344,"4,513.3"
2021,March,4 Western, Queenscliffe,81,"2,652.3"
2021,March,4 Western, Southern Grampians,791,"4,929.3"
2021,March,4 Western, Surf Coast,"1,164","3,208.6"
2021,March,4 Western, Swan Hill,"1,857","9,211.8"
2021,March,4 Western, Warrnambool,"2,200","6,178.6"
2021,March,4 Western, West Wimmera,122,"3,253.3"
2021,March,4 Western, Yarriambiack,333,"5,162.0"
2021,March,4 Western,Total,"59,300","5,724.4"
2021,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,270",
2021,March,Justice Institutions and Immigration Facilities,Total,"1,270",
2021,March,Unincorporated Vic, Unincorporated Vic,30,
2021,March,Unincorporated Vic,Total,30,
2020,March,1 North West Metro, Banyule,"7,262","5,505.9"
2020,March,1 North West Metro, Brimbank,"15,480","7,437.1"
2020,March,1 North West Metro, Darebin,"11,895","7,150.3"
2020,March,1 North West Metro, Hobsons Bay,"4,906","4,998.7"
2020,March,1 North West Metro, Hume,"15,894","6,594.0"
2020,March,1 North West Metro, Maribyrnong,"7,305","7,695.3"
2020,March,1 North West Metro, Melbourne,"26,901","14,649.7"
2020,March,1 North West Metro, Melton,"9,320","5,406.1"
2020,March,1 North West Metro, Moonee Valley,"6,719","5,101.7"
2020,March,1 North West Metro, Moreland,"11,100","5,883.6"
2020,March,1 North West Metro, Nillumbik,"1,691","2,593.6"
2020,March,1 North West Metro, Whittlesea,"12,248","5,180.8"
2020,March,1 North West Metro, Wyndham,"13,871","4,900.0"
2020,March,1 North West Metro, Yarra,"11,428","11,087.0"
2020,March,1 North West Metro,Total,"1,56,020","6,769.7"
2020,March,2 Eastern, Alpine,438,"3,376.8"
2020,March,2 Eastern, Bass Coast,"1,786","4,770.4"
2020,March,2 Eastern, Baw Baw,"3,587","6,537.7"
2020,March,2 Eastern, Benalla,935,"6,614.8"
2020,March,2 Eastern, Boroondara,"6,521","3,563.9"
2020,March,2 Eastern, East Gippsland,"3,638","7,623.5"
2020,March,2 Eastern, Greater Shepparton,"6,382","9,519.4"
2020,March,2 Eastern, Indigo,430,"2,547.1"
2020,March,2 Eastern, Knox,"8,873","5,374.6"
2020,March,2 Eastern, Latrobe,"10,075","13,274.9"
2020,March,2 Eastern, Manningham,"3,741","2,902.4"
2020,March,2 Eastern, Mansfield,337,"3,557.9"
2020,March,2 Eastern, Maroondah,"5,920","4,960.0"
2020,March,2 Eastern, Mitchell,"3,120","6,550.9"
2020,March,2 Eastern, Moira,"1,835","6,114.2"
2020,March,2 Eastern, Monash,"9,577","4,675.2"
2020,March,2 Eastern, Murrindindi,598,"4,079.4"
2020,March,2 Eastern, South Gippsland,"1,359","4,493.6"
2020,March,2 Eastern, Strathbogie,475,"4,322.1"
