"stop_id","stop_lat","stop_long","stop_name","stop_suburb","stop_type"
"T-9    ","-38.2253419600","145.1762449000","Somerville Railway Station                                            ","Somerville                                        ","T   "
"T-90   ","-37.9384912100","145.1388326000","Westall Railway Station                                               ","Clayton South                                     ","T   "
"T-91   ","-37.9246825500","145.1205344000","Clayton Railway Station                                               ","Clayton                                           ","T   "
"T-92   ","-37.9110173400","145.1023643000","Huntingdale Railway Station                                           ","Oakleigh                                          ","T   "
"T-93   ","-37.9003721400","145.0883079000","Oakleigh Railway Station                                              ","Oakleigh                                          ","T   "
"T-94   ","-37.8942488800","145.0764347000","Hughesdale Railway Station                                            ","Hughesdale                                        ","T   "
"T-95   ","-37.8901983200","145.0673749000","Murrumbeena Railway Station                                           ","Murrumbeena                                       ","T   "
"T-96   ","-37.8862414800","145.0585751000","Carnegie Railway Station                                              ","Carnegie                                          ","T   "
"T-97   ","-37.8993780500","144.6611180000","Werribee Railway Station                                              ","Werribee                                          ","T   "
"T-98   ","-37.8832761800","144.7009549000","Hoppers Crossing Railway Station                                      ","Hoppers Crossing                                  ","T   "
"T-99   ","-37.8636940400","144.7726167000","Laverton Railway Station                                              ","Laverton                                          ","T   "
"TR-1   ","-37.8624552000","145.0285085000","45-Glenferrie Rd/Wattletree Rd                                        ","Malvern                                           ","TR  "
"TR-10  ","-37.7688912400","144.8919846000","44-Barb St/Raleigh Rd                                                 ","Maribyrnong                                       ","TR  "
"TR-100 ","-37.7713669500","144.9614731000","21-Glenlyon Rd/Sydney Rd                                              ","Brunswick                                         ","TR  "
"TR-1000","-37.8056941100","144.9631077000","4-Queensberry St/Swanston St                                          ","Carlton                                           ","TR  "
"TR-1001","-37.8081394600","144.9632904000","7-RMIT University/Swanston St                                         ","Melbourne                                         ","TR  "
"TR-1002","-37.8103823700","144.9642738000","8-Melbourne Central Station/Swanston St                               ","Melbourne                                         ","TR  "
"TR-1003","-37.8131986300","144.9655823000","10-Bourke Street Mall/Swanston St                                     ","Melbourne                                         ","TR  "
"TR-1004","-37.8163775300","144.9670172000","11-City Square/Swanston St                                            ","Melbourne                                         ","TR  "
"TR-1005","-37.8184759000","144.9679821000","13-Federation Square/Swanston St                                      ","Melbourne                                         ","TR  "
"TR-1006","-37.8218457000","144.9695142000","14-Arts Precinct/St Kilda Rd                                          ","Southbank                                         ","TR  "
"TR-1007","-37.8241692400","144.9704730000","17-Grant St-Police Memorial/St Kilda Rd                               ","Southbank                                         ","TR  "
"TR-1008","-37.8287986900","144.9713687000","19-Shrine of Remembrance/St Kilda Rd                                  ","Melbourne                                         ","TR  "
"TR-1009","-37.8315205200","144.9713851000","20-Park Street/St Kilda Rd                                            ","Melbourne                                         ","TR  "
"TR-101 ","-37.7776474900","144.9603922000","19-Brunswick Rd/Sydney Rd                                             ","Brunswick                                         ","TR  "
"TR-1010","-37.8357611800","144.9753482000","22-Toorak Rd/St Kilda Rd                                              ","Melbourne                                         ","TR  "
"TR-1011","-37.8388552000","144.9765703000","23-Arthur St/St Kilda Rd                                              ","Melbourne                                         ","TR  "
"TR-1012","-37.8411585300","144.9774051000","24-Leopold St/St Kilda Rd                                             ","South Melbourne                                   ","TR  "
"TR-1013","-37.8445229500","144.9786314000","25-Commercial Rd/St Kilda Rd                                          ","South Melbourne                                   ","TR  "
"TR-1014","-37.8475515400","144.9797193000","26-Moubray St/St Kilda Rd                                             ","South Melbourne                                   ","TR  "
"TR-1015","-37.8498638600","144.9805540000","27-High St/St Kilda Rd                                                ","South Melbourne                                   ","TR  "
"TR-1016","-37.8530017000","144.9817072000","29-Union St/St Kilda Rd                                               ","St Kilda                                          ","TR  "
"TR-1017","-37.8552957900","144.9825312000","30-St Kilda Junction/St Kilda Rd                                      ","St Kilda                                          ","TR  "
"TR-1018","-37.8562458900","144.9874949000","31-Queens Way/Queens Way                                              ","St Kilda                                          ","TR  "
"TR-1019","-37.8550312600","144.9823452000","30-St Kilda Junction/St Kilda Rd                                      ","St Kilda                                          ","TR  "
"TR-102 ","-37.7816842000","144.9598384000","17-Ievers St/Royal Pde                                                ","Parkville                                         ","TR  "
"TR-1020","-37.8524834000","144.9814372000","29-Union St/St Kilda Rd                                               ","St Kilda                                          ","TR  "
"TR-1021","-37.8499177100","144.9805412000","27-Lorne St/St Kilda Rd                                               ","Melbourne                                         ","TR  "
"TR-1022","-37.8478946100","144.9797554000","26-Beatrice St/St Kilda Rd                                            ","Melbourne                                         ","TR  "
"TR-1023","-37.8440132600","144.9783385000","25-Commercial Rd/St Kilda Rd                                          ","Melbourne                                         ","TR  "
"TR-1024","-37.8414831900","144.9774190000","24-Leopold St/St Kilda Rd                                             ","Melbourne                                         ","TR  "
"TR-1025","-37.8392975400","144.9766151000","23-Arthur St/St Kilda Rd                                              ","Melbourne                                         ","TR  "
"TR-1026","-37.8029418600","144.9483615000","13-Curzon St/Queensberry St                                           ","North Melbourne                                   ","TR  "
"TR-1027","-37.8032236400","144.9495349000","12-North Melbourne Town Hall/Errol St                                 ","North Melbourne                                   ","TR  "
"TR-1028","-37.7998256700","144.9552053000","14-Royal Melbourne Hospital/Flemington Rd                             ","North Melbourne                                   ","TR  "
"TR-1029","-37.7941411300","144.9480599000","19-Royal Childrens Hospital/Flemington Rd                             ","North Melbourne                                   ","TR  "
"TR-103 ","-37.7845893000","144.9595087000","16-Walker St/Royal Pde                                                ","Parkville                                         ","TR  "
"TR-1030","-37.7904742100","144.9434601000","20-Melrose St/Flemington Rd                                           ","North Melbourne                                   ","TR  "
"TR-1031","-37.7880542900","144.9406088000","22-Flemington Bridge Station/Flemington Rd                            ","North Melbourne                                   ","TR  "
"TR-1032","-37.7858427400","144.9388534000","23-Flemington Community Centre/Mt Alexander Rd                        ","Flemington                                        ","TR  "
"TR-1033","-37.7842182300","144.9371726000","24-Mooltan St/Mt Alexander Rd                                         ","Flemington                                        ","TR  "
"TR-1034","-37.7825652400","144.9338690000","25-Mount Alexander College/Mt Alexander Rd                            ","Travancore                                        ","TR  "
"TR-1035","-37.7814356300","144.9326628000","26-Wellington St/Mt Alexander Rd                                      ","Flemington                                        ","TR  "
"TR-1036","-37.7798078100","144.9313116000","27-Essendon Tram Depot/Mt Alexander Rd                                ","Ascot Vale                                        ","TR  "
"TR-1037","-37.7776990000","144.9297695000","28-Middle St/Mt Alexander Rd                                          ","Ascot Vale                                        ","TR  "
"TR-1038","-37.7757476900","144.9284729000","29-Warrick St/Mt Alexander Rd                                         ","Ascot Vale                                        ","TR  "
"TR-1039","-37.7730083300","144.9269486000","30-Maribyrnong Rd/Mt Alexander Rd                                     ","Ascot Vale                                        ","TR  "
"TR-104 ","-37.7876737600","144.9591286000","15-Leonard St/Royal Pde                                               ","Parkville                                         ","TR  "
"TR-1040","-37.7706858700","144.9260711000","31-Montgomery St/Mt Alexander Rd                                      ","Moonee Ponds                                      ","TR  "
"TR-1041","-37.7666534300","144.9248102000","32-Moonee Ponds Junction/Pascoe Vale Rd                               ","Moonee Ponds                                      ","TR  "
"TR-1042","-37.7640046600","144.9253610000","34-Moonee Valley Civic Centre/Pascoe Vale Rd                          ","Moonee Ponds                                      ","TR  "
"TR-1043","-37.7627019900","144.9255904000","35-Queens Park/Pascoe Vale Rd                                         ","Moonee Ponds                                      ","TR  "
"TR-1044","-37.7598628600","144.9260784000","36-Murray St/Pascoe Vale Rd                                           ","Moonee Ponds                                      ","TR  "
"TR-1045","-37.7582545400","144.9263503000","37-Buckley St/Pascoe Vale Rd                                          ","Moonee Ponds                                      ","TR  "
"TR-1046","-37.7561132100","144.9260355000","38-Fletcher St/Pascoe Vale Rd                                         ","Essendon                                          ","TR  "
"TR-1047","-37.7556931400","144.9231642000","39-Hoddle St/Fletcher St                                              ","Essendon                                          ","TR  "
"TR-1048","-37.7554559600","144.9209576000","40-Nicholson St/Fletcher St                                           ","Essendon                                          ","TR  "
"TR-1049","-37.7548792200","144.9173870000","41-Fletcher St/Napier St                                              ","Essendon                                          ","TR  "
"TR-105 ","-37.7897151100","144.9588794000","14-Cemetery Road West/Royal Pde                                       ","Parkville                                         ","TR  "
"TR-1050","-37.7524964200","144.9156492000","42-Shamrock St/Mt Alexander Rd                                        ","Essendon                                          ","TR  "
"TR-1051","-37.7506622600","144.9143614000","43-Thistle St/Mt Alexander Rd                                         ","Essendon                                          ","TR  "
"TR-1052","-37.7483546900","144.9128032000","44-Thorn St/Mt Alexander Rd                                           ","Essendon                                          ","TR  "
"TR-1053","-37.7463843900","144.9114627000","45-Leake St/Mt Alexander Rd                                           ","Essendon                                          ","TR  "
"TR-1054","-37.7447695800","144.9103505000","46-Lincoln Rd/Mt Alexander Rd                                         ","Essendon                                          ","TR  "
"TR-1055","-37.7441615700","144.9090966000","47-Mt Alexander Rd/Keilor Rd                                          ","Essendon                                          ","TR  "
"TR-1056","-37.7428214900","144.9056957000","48-Service St/Keilor Rd                                               ","Essendon                                          ","TR  "
"TR-1057","-37.7416825900","144.9029702000","49-Essendon North Primary School/Keilor Rd                            ","Essendon North                                    ","TR  "
"TR-1058","-37.7402044000","144.8994146000","50-Cooper St/Keilor Rd                                                ","Essendon                                          ","TR  "
"TR-1059","-37.7387723700","144.8959259000","51-Bradshaw St/Keilor Rd                                              ","Essendon                                          ","TR  "
"TR-106 ","-37.7924218400","144.9585438000","13-Gatehouse St/Royal Pde                                             ","Parkville                                         ","TR  "
"TR-1060","-37.7365516300","144.8901675000","53A-Matthews Ave/Keilor Rd                                            ","Essendon                                          ","TR  "
"TR-1061","-37.7349593300","144.8893163000","53-Keilor Rd/Matthews Ave                                             ","Niddrie                                           ","TR  "
"TR-1062","-37.7323707500","144.8896962000","54-Fullarton Rd/Matthews Ave                                          ","Airport West                                      ","TR  "
"TR-1063","-37.7299633200","144.8901276000","55-Cameron St/Matthews Ave                                            ","Airport West                                      ","TR  "
"TR-1064","-37.7272052200","144.8906030000","56-Earl St/Matthews Ave                                               ","Airport West                                      ","TR  "
"TR-1065","-37.7231170900","144.8912863000","57-Hawker St/Matthews Ave                                             ","Airport West                                      ","TR  "
"TR-1066","-37.7184162600","144.8919755000","58-Marshall Rd/Matthews Ave                                           ","Airport West                                      ","TR  "
"TR-1067","-37.8354764800","144.9750378000","22-Toorak Rd/St Kilda Rd                                              ","Melbourne                                         ","TR  "
