"stop_suburb","stop_type","count"
"Cranbourne South                                  ","B   ",7
"Cranbourne West                                   ","B   ",31
"Cremorne                                          ","TR  ",3
"Crib Point                                        ","B   ",8
"Crib Point                                        ","T   ",3
"Croydon                                           ","B   ",139
"Croydon                                           ","T   ",1
"Croydon Hills                                     ","B   ",11
"Croydon North                                     ","B   ",36
"Croydon South                                     ","B   ",15
"Dallas                                            ","B   ",24
"Dandenong                                         ","B   ",142
"Dandenong                                         ","T   ",1
"Dandenong North                                   ","B   ",98
"Dandenong South                                   ","B   ",208
"Deer Park                                         ","B   ",67
"Delahey                                           ","B   ",29
"Derrimut                                          ","B   ",24
"Devon Meadows                                     ","B   ",18
"Diamond Creek                                     ","B   ",40
"Diamond Creek                                     ","T   ",1
"Diggers Rest                                      ","B   ",12
"Diggers Rest                                      ","T   ",1
"Dingley Village                                   ","B   ",61
"Docklands                                         ","B   ",4
"Docklands                                         ","TR  ",44
"Doncaster                                         ","B   ",113
"Doncaster East                                    ","B   ",134
"Donnybrook                                        ","B   ",8
"Donvale                                           ","B   ",60
"Doreen                                            ","B   ",90
"Doveton                                           ","B   ",40
"Dromana                                           ","B   ",16
"Eaglehawk                                         ","B   ",44
"Eaglemont                                         ","B   ",7
"Eaglemont                                         ","T   ",1
"East Bendigo                                      ","B   ",31
"East Melbourne                                    ","B   ",18
"East Melbourne                                    ","T   ",2
"East Melbourne                                    ","TR  ",34
"East Warburton                                    ","B   ",9
"Edithvale                                         ","B   ",29
"Edithvale                                         ","T   ",1
"Eildon                                            ","B   ",1
"Elsternwick                                       ","B   ",50
"Elsternwick                                       ","T   ",1
"Elsternwick                                       ","TR  ",14
"Eltham                                            ","B   ",53
"Eltham                                            ","T   ",1
"Eltham North                                      ","B   ",22
"Elwood                                            ","B   ",38
"Elwood                                            ","TR  ",5
"Emerald                                           ","B   ",16
"Endeavour Hills                                   ","B   ",129
"Epping                                            ","B   ",163
"Epping                                            ","T   ",1
"Epsom                                             ","B   ",33
"Essendon                                          ","B   ",99
"Essendon                                          ","T   ",2
"Essendon                                          ","TR  ",26
"Essendon North                                    ","B   ",4
"Essendon North                                    ","TR  ",4
"Essendon West                                     ","B   ",6
"Eumemmerring                                      ","B   ",6
"Fairfield                                         ","B   ",41
"Fairfield                                         ","T   ",1
"Fawkner                                           ","B   ",76
"Fawkner                                           ","T   ",1
"Ferntree Gully                                    ","B   ",137
"Ferntree Gully                                    ","T   ",1
"Ferny Creek                                       ","B   ",12
"Fitzroy                                           ","B   ",8
"Fitzroy                                           ","TR  ",36
"Fitzroy North                                     ","B   ",35
"Fitzroy North                                     ","T   ",1
